,uid,scenario,label
0,28152,wanting to ban a uni acquaintance from a Discord server,-1
1,28146,throwing my step-moms work clothes in the garage,-1
2,28147,"being angry at my sister for drinking in front of our alcoholic mom, despite me drinking as well",-1
3,28149,asking a store to carry through with a policy when a cashier made a mistake,-1
4,28153,asking my new landlord/roommate to turn the goddamn heat up,-1
5,28151,complaining about a fellow student to our course leader,-1
6,28148,wanting my girlfriend to end her friendship because of extreme political beliefs,-1
7,28145,telling coworkers not to thank the president of the company because he didn't do anything,-1
8,26345,calling the police on people holding the front door of my building open and gambling/smoking inside,-1
9,26341,hating my boyfriends best friend,-1
10,26348,telling a family situation/secret to my bf,-1
11,26344,no respecting person that might die,-1
12,26346,being upset with my parents,-1
13,26342,wanting to meet Roman Polanski,0
14,26347,interfering in professor's lecture when he starts telling offensive jokes,-1
15,26343,getting angry at my girlfriend,-1
16,28172,The first time I outwardly got angry at a customer.,-1
17,28175,"I don’t trust have a comfort level with my boyfriends best friend. Gut instinct. I know it’s silly, but I just don’t get very good vibes from him.",-1
18,28170,I used to own a Juul...,0
19,28178,I genuinely hate most old people,-1
20,28171,I'm sending my dad to the worst retirement home I can find when he's older,-1
21,28196,I took too Much Ecstasy on the wrong day.,-1
22,28195,I want to post pictures of my body. I am very confident and want to share my womanhood.,-1
23,28189,Sometimes I almost hate my boyfriend.,-1
24,28194,My friend thinks he can rap and won’t stop sending me terrible lyrics he made up so I told him that I have a friend in LA who is a producer and wants to sign him to his record label.,-1
25,26409,helping a nosy lady access a dead woman's cell phone,-1
26,26403,telling my brother to F*** off and destroying the plant vase in my house,-1
27,26404,licking a kids hand,-1
28,26407,saying an Elderly Woman's Wig looks stupid,-1
29,26406,reporting my neighbors to code enforcement,-1
30,26402,not doing something my girlfriend asked me to do quickly enough,-1
31,26408,threatening my dad with theft,-1
32,28287,I destroy everything I touch,-1
33,28279,I drove to my driving theory test,0
34,28282,"My neighbour is annoying, but she's an easy lay.",-1
35,28280,I act like I am left leaning but I really support militarism,-1
36,26510,rejecting my dad's suggestion of religion as a solution to possible health issues,-1
37,26512,refusing a sentimental gift,-1
38,26516,getting into an argument with my gf's mom,-1
39,26508,asking my girlfriend to stop singing in the car,-1
40,26511,reclining my seat on a 10 hour flight,0
41,26515,wanting neighbours dogs to be put down/euthanized,-1
42,26514,telling a guy he was a bad kisser,-1
43,26513,dating the girl my best friend has a crush on,-1
44,26571,telling a Jehovah's Witnesses lady that her religion is evil,-1
45,26568,snapping at my GF's friend because she thinks she's so educated,-1
46,26569,"telling my wife she is expected to cook, clean dishes, and do the laundry",-1
47,26566,canceling a date with my gf to spend time with a friend who used to be extremely close and haven't seen in years,0
48,26570,getting mad about my Mom always expecting me to wait while she smokes,-1
49,26565,asking a religious friend to refrain from praying for my family member,-1
50,26567,not wanting my in-laws to visit us,-1
51,28388,I have so much anger towards my mother and I don't know why,-1
52,28394,I called the police on my neighbor this morning,-1
53,28386,I declined because I wanted to protect myself,-1
54,28387,I think all guns should be banned in the U.S. except rebaulbers,-1
55,28395,It's an extreme racist micro aggression to wear clothes made of cotton,-1
56,28389,I want to leave my SO to become a better person but I'm scared of being alone and I'm too comfortable,-1
57,28385,I sometimes steal other people's interesting documents off the printer at work and go back to my cubicle and look them over,-1
58,28396,I’m a conservative at a liberal school,-1
59,26601,not letting my girlfriend do what she wants,-1
60,26602,banning someone from our dev team due to me not liking his controversial opinions,-1
61,26604,asking for a refund,0
62,28458,"I'm in love with my boyfriend, his best friend, and his best friend's fiancée",-1
63,28457,I ate a king size box of Gushers by myself and blamed the kids I was babysitting,-1
64,28450,I prefer my chips cold,0
65,26645,upsetting my friend's gf,-1
66,26642,not wanting to hear my stepdad's political views at dinner,-1
67,28482,I'm thinking of ending my life because I cant stop,-1
68,28480,"I'm tired of Bernie Sanders. I hope he doesn't become president, because I don't want to hear his elderly ramblings every time I turn on television.",-1
69,28477,Cant stop myself from lying,-1
70,28479,"Once I know you are religious, I immediately question your intelligence on every single topic",-1
71,26704,not agreeing with my mom,-1
72,26708,calling my parents and sister lying pieces of shit,-1
73,26711,not accepting my boyfriend's apologies,-1
74,26705,trying to step into my friends relationship,-1
75,26707,freaking hate office birthdays and other events,-1
76,26706,not sharing my gram's inheritance,-1
77,26710,being impolite to two girls because they didn't treat me with respect,-1
78,26709,leaving my drunk friend on the side of the road,-1
79,28585,Iran's Islamic Revolution Saved Israel,-1
80,28583,I disowned my son when he said he was a liberal,-1
81,28581,I held a dying baby deer in my arms last night.,-1
82,28578,Anyone Think That The Penultimate Episode of Game of Thrones is Kind of Analogous to Our Political Situation?,-1
83,28584,I’m happy when I see shootings on the news because it shines light on how backwards retardblicans are.,-1
84,28582,I wanna become a tattoo artist even though I’ve spent the last four years studying politics,-1
85,28580,I'm learning more and more about my SO and her past,0
